exam,year,session,date,shift,paper,paper_number,language,pdf_type,answer_key_file,question_paper_file,local_path,page_count,file_size
JEE_ADVANCED,2018,,,,Paper 1,1,Bilingual,Question Paper,,2018\Paper-1\Question-Paper\JEE_Advanced_2018_Paper-1.pdf,2018\Paper-1\Question-Paper\JEE_Advanced_2018_Paper-1.pdf,32,2411298
JEE_ADVANCED,2018,,,,Paper 2,2,Bilingual,Question Paper,,2018\Paper-2\Question-Paper\JEE_Advanced_2018_Paper-2.pdf,2018\Paper-2\Question-Paper\JEE_Advanced_2018_Paper-2.pdf,33,618279
JEE_ADVANCED,2019,,,,Paper 1,1,English,Question Paper,,2019\Paper-1\Question-Paper\JEE_Advanced_2019_Paper-1_English.pdf,2019\Paper-1\Question-Paper\JEE_Advanced_2019_Paper-1_English.pdf,28,10246349
JEE_ADVANCED,2019,,,,Paper 1,1,Hindi,Question Paper,,2019\Paper-1\Question-Paper\JEE_Advanced_2019_Paper-1_Hindi.pdf,2019\Paper-1\Question-Paper\JEE_Advanced_2019_Paper-1_Hindi.pdf,30,10921415
JEE_ADVANCED,2019,,,,Paper 2,2,English,Question Paper,,2019\Paper-2\Question-Paper\JEE_Advanced_2019_Paper-2_English.pdf,2019\Paper-2\Question-Paper\JEE_Advanced_2019_Paper-2_English.pdf,31,9738768
JEE_ADVANCED,2019,,,,Paper 2,2,Hindi,Question Paper,,2019\Paper-2\Question-Paper\JEE_Advanced_2019_Paper-2_Hindi.pdf,2019\Paper-2\Question-Paper\JEE_Advanced_2019_Paper-2_Hindi.pdf,33,7509232
JEE_ADVANCED,2020,,,,Paper 1,1,English,Question Paper,,2020\Paper-1\Question-Paper\JEE_Advanced_2020_Paper-1_English.pdf,2020\Paper-1\Question-Paper\JEE_Advanced_2020_Paper-1_English.pdf,24,1715231
JEE_ADVANCED,2020,,,,Paper 1,1,Hindi,Question Paper,,2020\Paper-1\Question-Paper\JEE_Advanced_2020_Paper-1_Hindi.pdf,2020\Paper-1\Question-Paper\JEE_Advanced_2020_Paper-1_Hindi.pdf,27,3841617
JEE_ADVANCED,2020,,,,Paper 2,2,English,Question Paper,,2020\Paper-2\Question-Paper\JEE_Advanced_2020_Paper-2_English.pdf,2020\Paper-2\Question-Paper\JEE_Advanced_2020_Paper-2_English.pdf,22,2005186
JEE_ADVANCED,2020,,,,Paper 2,2,Hindi,Question Paper,,2020\Paper-2\Question-Paper\JEE_Advanced_2020_Paper-2_Hindi.pdf,2020\Paper-2\Question-Paper\JEE_Advanced_2020_Paper-2_Hindi.pdf,24,3673169
JEE_ADVANCED,2021,,,,Paper 1,1,English,Question Paper,,2021\Paper-1\Question-Paper\JEE_Advanced_2021_Paper-1_English.pdf,2021\Paper-1\Question-Paper\JEE_Advanced_2021_Paper-1_English.pdf,29,3237886
JEE_ADVANCED,2021,,,,Paper 1,1,Hindi,Question Paper,,2021\Paper-1\Question-Paper\JEE_Advanced_2021_Paper-1_Hindi.pdf,2021\Paper-1\Question-Paper\JEE_Advanced_2021_Paper-1_Hindi.pdf,33,4427642
JEE_ADVANCED,2021,,,,Paper 2,2,English,Question Paper,,2021\Paper-2\Question-Paper\JEE_Advanced_2021_Paper-2_English.pdf,2021\Paper-2\Question-Paper\JEE_Advanced_2021_Paper-2_English.pdf,29,3121110
JEE_ADVANCED,2021,,,,Paper 2,2,Hindi,Question Paper,,2021\Paper-2\Question-Paper\JEE_Advanced_2021_Paper-2_Hindi.pdf,2021\Paper-2\Question-Paper\JEE_Advanced_2021_Paper-2_Hindi.pdf,34,4813066
JEE_ADVANCED,2022,,,,Paper 1,1,English,Question Paper,,2022\Paper-1\Question-Paper\JEE_Advanced_2022_Paper-1_English.pdf,2022\Paper-1\Question-Paper\JEE_Advanced_2022_Paper-1_English.pdf,31,5180040
JEE_ADVANCED,2022,,,,Paper 1,1,Hindi,Question Paper,,2022\Paper-1\Question-Paper\JEE_Advanced_2022_Paper-1_Hindi.pdf,2022\Paper-1\Question-Paper\JEE_Advanced_2022_Paper-1_Hindi.pdf,31,12504766
JEE_ADVANCED,2022,,,,Paper 2,2,English,Question Paper,,2022\Paper-2\Question-Paper\JEE_Advanced_2022_Paper-2_English.pdf,2022\Paper-2\Question-Paper\JEE_Advanced_2022_Paper-2_English.pdf,26,4537759
JEE_ADVANCED,2022,,,,Paper 2,2,Hindi,Question Paper,,2022\Paper-2\Question-Paper\JEE_Advanced_2022_Paper-2_Hindi.pdf,2022\Paper-2\Question-Paper\JEE_Advanced_2022_Paper-2_Hindi.pdf,29,11409636
JEE_ADVANCED,2023,,,,Paper 1,1,English,Question Paper,,2023\Paper-1\Question-Paper\JEE_Advanced_2023_Paper-1_English.pdf,2023\Paper-1\Question-Paper\JEE_Advanced_2023_Paper-1_English.pdf,30,2570592
JEE_ADVANCED,2023,,,,Paper 1,1,Hindi,Question Paper,,2023\Paper-1\Question-Paper\JEE_Advanced_2023_Paper-1_Hindi.pdf,2023\Paper-1\Question-Paper\JEE_Advanced_2023_Paper-1_Hindi.pdf,31,2798360
